Compound ID,InChIKey,SMILES,logS,logP,MW
C6692,XDPKQGKEOCYMQC-UHFFFAOYSA-N,O=C1CC(=O)N(N1c1ccccc1)c1ccccc1,-2.278999832,2.5015,252.268
C1965,XWNZVGDZWLLXSJ-UHFFFAOYSA-N,OCC(CC(c1nc2c(s1)nc(s2)C(CC(CO)(C)C)(C)C)(C)C)(C)C,-7.37525415,5.1252,398.626
C5136,FHHPUSMSKHSNKW-SMOYURAASA-M,O[C@@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2C[C@H](O)[C@]2([C@H]1CC[C@@H]2[C@@H](CCC(=O)[O-])C)C)C.[Na+],-3.285151041,3.1432,414.554
C3063,UPUDVKWQBVIKBG-UHFFFAOYSA-N,CCOc1ccc(cc1OCC)Cc1nccc2c1cc(OCC)c(c2)OCC.Cl,-5.025846107,6.2224,431.952
C9871,NLXLAEXVIDQMFP-UHFFFAOYSA-N,[Cl-].[NH4+],0.842278477,-2.6198,53.4915
C1864,BNXDKTBMUIPKNM-UHFFFAOYSA-L,CC[N+](C1c2ccccc2c2c1cccc2)(CCCCCCCCCC[N+](C1c2ccccc2c2c1cccc2)(CC)CC)CC.[Br-].[Br-],-8.198091315,5.3684,774.753
C429,BULVZWIRKLYCBC-UHFFFAOYSA-N,CCSCSP(=S)(OCC)OCC,-4.1100001,4.3783,260.377
C2718,RTARBDNVQPTOHY-UHFFFAOYSA-N,CCCCOc1ccc(cc1C)CC(=O)N,-5.481064037,2.902,221.295
C8311,WVGCPEDBFHEHEZ-UHFFFAOYSA-N,Brc1c[nH]nc1,-1.084458128,1.1722,146.973
C9333,VPSBSHPMUADTAT-UHFFFAOYSA-L,C[N+](CCCC[N+]1(C)CC2CCCC(C1)C2)(C)C.[I-].[I-],0.293904669,-3.2938,508.264
C6094,DZWTXWPRWRLHIL-UHFFFAOYSA-N,Cc1ccc2c(c1)sc(n2)N,-2.661558888,2.7681,164.228
C2429,VZDUQCJRCXCFKK-UHFFFAOYSA-N,CN(CCCC1(OC(c2c1cccc2)(C)C)c1ccc(cc1)C(F)(F)F)C.Cl,-5.961766435,6.3581,413.904
C623,GWHJZXXIDMPWGX-UHFFFAOYSA-N,Cc1ccc(c(c1)C)C,-3.3099999,2.6118,120.192
C8026,WJVBIMBJLVWPNE-OQLLNIDSSA-N,Oc1cccc(c1)/C=N/NC(=O)c1ccncc1,-1.329388879,1.942,241.245
C7303,PCUVRILJYXQWBX-UHFFFAOYSA-N,C#CCN1C(=O)c2ccccc2CS1(=O)=O,-1.885821128,1.6241,235.259
C5529,NIPRGEWHJUTVQK-UHFFFAOYSA-N,S=C1NCCC(O1)COc1ccccc1,-3.020489651,2.0576,223.291
C7999,MIHADVKEHAFNPG-UHFFFAOYSA-N,[O-][N+](=O)c1cnc(s1)N,-1.359411975,1.7379,145.14
C8737,NTCYWJCEOILKNG-ROLPUNSJSA-N,O[C@@H]([C@@H](N(C)C)C)c1ccccc1.Cl,-0.598293505,2.4721,215.72
C4405,SIXLXDIJGIWWFU-UHFFFAOYSA-N,OCc1c(CSSCc2cnc(c(c2CO)O)C)cnc(c1O)C,-3.801623703,2.5708,368.471
C1846,WAGUALLVPHOILS-UHFFFAOYSA-N,Clc1ccc(cc1Cl)CNCC1CCC(CC1)CNCc1ccc(c(c1)Cl)Cl.Cl.Cl,-8.436839231,9.3718,533.189
C5557,PMDUNHOOULGNCQ-UHFFFAOYSA-N,N#Cc1ccc2c(c1)C(=NCC(=O)N2C)c1ccccc1,-3.0103943,1.87268,275.305
C248,HUWXDEQWWKGHRV-UHFFFAOYSA-N,Nc1ccc(cc1Cl)c1ccc(c(c1)Cl)N,-4.9200001,4.9872,253.127
C2959,RPVBPDPLQFCQRB-UHFFFAOYSA-N,CCN(CCC(c1cccc2c1cccc2)(C(=O)N)C(C)C)CC,-5.15213408,4.6511,326.476
C3505,PXLVRFQEBVNJOH-UHFFFAOYSA-N,C=CCC1(C(=O)NC(=S)NC1=O)C1CCCC=C1,-4.53511342,2.0937,264.343
C4517,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,CNCCC(c1ccccc1)Oc1ccc(cc1)C(F)(F)F,-3.710107537,4.8259,309.326
C1327,BAYAKMPRFGNNFW-UHFFFAOYSA-N,OC(C(C)C)C(C)C,-1.22,1.6593,116.201
C4362,YMVWGSQGCWCDGW-UHFFFAOYSA-N,CN(CCCNc1c2ccccc2nc2c1c(ccc2)[N+](=O)[O-])C,-3.836657612,4.256,324.377
